date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:42:01	37599/37599	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Mar%202026%2021:29:40%20GMT	https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/html/sign-in-cover.html	D:/WEBSITE/ui/preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/html/sign-in-cover.html	(from )
00:42:02	355/355	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Aug%202026%2019:11:59%20GMT	https://preview.sprukomarket.com/robots.txt		(from )
00:42:02	3446/3446	---M--	200	added ('OK')	text/javascript	date:Fri,%2016%20May%202025%2021:07:06%20GMT	https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/js/authentication-main.js	D:/WEBSITE/ui/preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/js/authentication-main.js	(from https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/html/sign-in-cover.html)
00:42:04	232018/232018	---M--	200	added ('OK')	text/css	date:Fri,%2016%20May%202025%2021:06:52%20GMT	https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/libs/bootstrap/css/bootstrap.min.css	D:/WEBSITE/ui/preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/libs/bootstrap/css/bootstrap.min.css	(from https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/html/sign-in-cover.html)
00:42:05	641709/641709	---M--	200	added ('OK')	text/css	date:Fri,%2016%20May%202025%2021:24:06%20GMT	https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/css/icons.css	D:/WEBSITE/ui/preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/css/icons.css	(from https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/html/sign-in-cover.html)
00:42:06	330094/330094	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Mar%202026%2020:28:50%20GMT	https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/html/index.html	D:/WEBSITE/ui/preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/html/index.html	(from https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/html/sign-in-cover.html)
00:42:06	4278/4278	---M--	200	added ('OK')	image/png	date:Fri,%2016%20May%202025%2022:16:54%20GMT	https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/images/brand-logos/desktop-logo.png	D:/WEBSITE/ui/preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/images/brand-logos/desktop-logo.png	(from https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/html/sign-in-cover.html)
00:42:06	1025825/1025825	---M--	200	added ('OK')	text/css	date:Fri,%2016%20May%202025%2021:24:06%20GMT	https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/css/styles.css	D:/WEBSITE/ui/preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/css/styles.css	(from https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/html/sign-in-cover.html)
00:42:06	1544/1544	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Apr%202025%2017:27:20%20GMT	https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/images/brand-logos/desktop-dark.png	D:/WEBSITE/ui/preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/images/brand-logos/desktop-dark.png	(from https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/html/sign-in-cover.html)
00:42:07	39828/39828	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Mar%202026%2021:29:40%20GMT	https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/html/reset-password-basic.html	D:/WEBSITE/ui/preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/html/reset-password-basic.html	(from https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/html/sign-in-cover.html)
00:42:07	37611/37611	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Mar%202026%2021:29:40%20GMT	https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/html/sign-up-basic.html	D:/WEBSITE/ui/preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/html/sign-up-basic.html	(from https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/html/sign-in-cover.html)
00:42:07	401337/401337	---M--	200	added ('OK')	image/png	date:Fri,%2016%20May%202025%2021:21:02%20GMT	https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/images/media/png/4.png	D:/WEBSITE/ui/preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/images/media/png/4.png	(from https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/html/sign-in-cover.html)
00:42:08	2497/2497	---M--	200	added ('OK')	image/png	date:Fri,%2016%20May%202025%2021:21:02%20GMT	https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/images/media/apps/google.png	D:/WEBSITE/ui/preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/images/media/apps/google.png	(from https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/html/sign-in-cover.html)
00:42:08	2389/2389	---M--	200	added ('OK')	image/png	date:Fri,%2016%20May%202025%2021:21:02%20GMT	https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/images/media/apps/facebook.png	D:/WEBSITE/ui/preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/images/media/apps/facebook.png	(from https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/html/sign-in-cover.html)
00:42:08	6315/6315	---M--	200	added ('OK')	image/png	date:Fri,%2016%20May%202025%2021:21:02%20GMT	https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/images/media/apps/twitter.png	D:/WEBSITE/ui/preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/images/media/apps/twitter.png	(from https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/html/sign-in-cover.html)
00:42:09	80743/80743	---M--	200	added ('OK')	text/javascript	date:Fri,%2016%20May%202025%2021:06:52%20GMT	https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/libs/bootstrap/js/bootstrap.bundle.min.js	D:/WEBSITE/ui/preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/libs/bootstrap/js/bootstrap.bundle.min.js	(from https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/html/sign-in-cover.html)
00:42:09	595/595	---M--	200	added ('OK')	text/javascript	date:Fri,%2016%20May%202025%2021:07:08%20GMT	https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/js/show-password.js	D:/WEBSITE/ui/preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/js/show-password.js	(from https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/html/sign-in-cover.html)
00:42:09	62134/62134	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20May%202025%2021:21:00%20GMT	https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/images/menu-bg-images/bg-img1.jpg	D:/WEBSITE/ui/preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/images/menu-bg-images/bg-img1.jpg	(from https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/css/styles.css)
00:42:10	41694/41694	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20May%202025%2021:21:00%20GMT	https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/images/menu-bg-images/bg-img2.jpg	D:/WEBSITE/ui/preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/images/menu-bg-images/bg-img2.jpg	(from https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/css/styles.css)
00:42:10	65818/65818	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20May%202025%2021:21:00%20GMT	https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/images/menu-bg-images/bg-img3.jpg	D:/WEBSITE/ui/preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/images/menu-bg-images/bg-img3.jpg	(from https://preview.sprukomarket.com/blazor/webapp/server/mudblazor/yzen/dist/assets/css/styles.css)
